2017-07-04 11:42:07.271 17599 LOG Starting pgqd 3.2.6
2017-07-04 11:42:07.272 17601 LOG auto-detecting dbs ...
2017-07-04 11:42:07.293 17601 LOG postgres: pgq version ok: 3.2.6
2017-07-04 11:42:07.294 17601 LOG londiste: pgq version ok: 3.2.6
2017-07-04 12:17:37.329 17601 LOG {ticks: 120, maint: 0, retry: 0}
2017-07-04 12:18:07.329 17601 LOG {ticks: 120, maint: 0, retry: 0}
2017-07-04 12:18:37.330 17601 LOG {ticks: 120, maint: 4, retry: 0}
2017-07-04 12:19:07.331 17601 LOG {ticks: 120, maint: 0, retry: 0}
2017-07-04 12:19:37.332 17601 LOG {ticks: 119, maint: 0, retry: 0}
2017-07-04 12:20:07.333 17601 LOG {ticks: 120, maint: 0, retry: 0}
2017-07-04 12:20:37.334 17601 LOG {ticks: 118, maint: 4, retry: 0}
2017-07-04 12:21:07.335 17601 LOG {ticks: 120, maint: 0, retry: 0}
2017-07-04 12:21:37.335 17601 LOG {ticks: 120, maint: 0, retry: 0}
2017-07-04 12:22:07.336 17601 LOG {ticks: 120, maint: 0, retry: 0}
2017-07-04 12:22:37.336 17601 LOG {ticks: 120, maint: 4, retry: 0}
2017-07-04 12:23:07.337 17601 LOG {ticks: 119, maint: 0, retry: 0}
2017-07-04 12:23:37.339 17601 LOG {ticks: 120, maint: 0, retry: 0}
2017-07-04 12:24:07.340 17601 LOG {ticks: 120, maint: 0, retry: 0}
2017-07-04 12:24:37.341 17601 LOG {ticks: 120, maint: 4, retry: 0}
2017-07-04 12:25:07.342 17601 LOG {ticks: 120, maint: 0, retry: 0}
2017-07-04 12:25:37.343 17601 LOG {ticks: 120, maint: 0, retry: 0}
2017-07-04 12:26:07.343 17601 LOG {ticks: 120, maint: 0, retry: 0}
2017-07-04 12:26:37.344 17601 LOG {ticks: 120, maint: 4, retry: 0}
2017-07-04 12:27:07.345 17601 LOG {ticks: 120, maint: 0, retry: 0}
2017-07-04 12:27:37.346 17601 LOG {ticks: 120, maint: 0, retry: 0}
2017-07-04 12:28:07.346 17601 LOG {ticks: 120, maint: 0, retry: 0}
2017-07-04 12:28:37.347 17601 LOG {ticks: 120, maint: 4, retry: 0}
2017-07-04 12:29:07.348 17601 LOG {ticks: 119, maint: 0, retry: 0}
2017-07-04 12:29:37.349 17601 LOG {ticks: 120, maint: 0, retry: 0}
2017-07-04 12:30:07.350 17601 LOG {ticks: 120, maint: 0, retry: 0}
2017-07-04 12:30:37.351 17601 LOG {ticks: 120, maint: 4, retry: 0}
2017-07-04 12:31:07.352 17601 LOG {ticks: 119, maint: 0, retry: 0}
2017-07-04 12:31:37.353 17601 LOG {ticks: 118, maint: 0, retry: 0}
2017-07-04 12:32:07.354 17601 LOG {ticks: 120, maint: 0, retry: 0}
2017-07-04 12:32:37.356 17601 LOG {ticks: 120, maint: 4, retry: 0}
2017-07-04 12:33:07.357 17601 LOG {ticks: 120, maint: 0, retry: 0}
2017-07-04 12:33:37.358 17601 LOG {ticks: 120, maint: 0, retry: 0}
2017-07-04 12:34:07.359 17601 LOG {ticks: 120, maint: 0, retry: 0}
2017-07-04 12:34:37.360 17601 LOG {ticks: 120, maint: 4, retry: 0}
2017-07-04 12:35:07.361 17601 LOG {ticks: 120, maint: 0, retry: 0}
2017-07-04 12:35:37.361 17601 LOG {ticks: 120, maint: 0, retry: 0}
2017-07-04 12:36:07.362 17601 LOG {ticks: 120, maint: 0, retry: 0}
2017-07-04 12:36:37.362 17601 LOG {ticks: 120, maint: 4, retry: 0}
2017-07-04 12:37:07.364 17601 LOG {ticks: 120, maint: 0, retry: 0}
2017-07-04 12:37:37.364 17601 LOG {ticks: 119, maint: 0, retry: 0}
2017-07-04 12:38:07.365 17601 LOG {ticks: 120, maint: 0, retry: 0}
2017-07-04 12:38:37.367 17601 LOG {ticks: 120, maint: 4, retry: 0}
2017-07-04 12:39:07.368 17601 LOG {ticks: 120, maint: 0, retry: 0}
2017-07-04 12:39:37.369 17601 LOG {ticks: 120, maint: 0, retry: 0}
2017-07-04 12:40:07.369 17601 LOG {ticks: 120, maint: 0, retry: 0}
2017-07-04 12:40:37.370 17601 LOG {ticks: 120, maint: 4, retry: 0}
